"symbol","name","protocol","icon","mainnet","testnet","decimals"
"nLuna","nLuna Token","Nexus","https://terra.nexusprotocol.app/nLuna.svg","terra10f2mt82kjnkxqj2gepgwl637u2w4ue2z5nhz5j"
"nETH","nETH Token","Nexus","https://terra.nexusprotocol.app/nEth.svg","terra178v546c407pdnx5rer3hu8s2c0fc924k74ymnn"
"DPH",,"Digipharm","https://digipharm.io/wp-content/uploads/2021/02/digipharm_etherscan_logo.png","terra17jnhankdfl8vyzj6vejt7ag8uz0cjc9crkl2h7",
"PSI",,"Nexus","https://terra.nexusprotocol.app/assets/psi.png","terra12897djskt9rge8dtmm86w654g7kzckkd698608",
"TFLOKI",,"TFLOKI","https://raw.githubusercontent.com/etfinder/assets/master/extra/icon/60/TFLOKI.png","terra1u2k0nkenw0p25ljsr4ksh7rxm65y466vkdewwj",
"VKR",,"Valkyrie","https://app.valkyrieprotocol.com/icon_vkr.png","terra1dy9kmlm4anr92e42mrkjwzyvfqwz66un00rwr5",
"HALO",,"Angel Protocol","https://angelprotocol.io/favicon.png","terra1w8kvd6cqpsthupsk4l0clwnmek4l3zr7c84kwq","terra1lxlqekpkwjhacljgcfjm7vxul50wqas6yvuc27",
"KUJI",,"Kujira","https://assets.kujira.app/kuji.svg","terra1xfsdgcemqwxp4hhnyk4rle6wr22sseq7j07dnn",
"SDOLLAR",,"Spaceloot","https://raw.githubusercontent.com/etfinder/assets/master/extra/icon/60/SDOLLAR.png","terra1l0y8yg0s86x299nqw0p6fhh7ngex3r4phtjeuq",,2
"PLY",,"PlayNity","https://finder.extraterrestrial.money/images/PLAYNITY60.png","terra13awdgcx40tz5uygkgm79dytez3x87rpg4uhnvu",,
"ASTRO",,"Astroport","https://raw.githubusercontent.com/etfinder/assets/master/extra/icon/60/ASTRO60.png","terra1xj49zyqrwpv5k928jwfpfy2ha668nwdgkwlrg3",
"WHALE",,"White Whale","https://raw.githubusercontent.com/etfinder/assets/master/extra/icon/60/WHALE60.png","terra1php5m8a6qd68z02t3zpw4jv2pj4vgw4wz0t8mz",
